Lab number,Field number,Material dated,Taxa dated,Type of date,Locality,Map sheet,Elevation (m ASL),Submitter,Date submitted,Collector,Date collected,Updater,Date updated,Measured age,MA Sigma,Normalized age,NA Sigma,Delta 13C (per mil),Delta 13C Source,Significance,Site identifier,Site name,Latitude,Longitude,Stratigraphic component,Context,Associated taxa,Additional information,Comments,References
GaK-1569,,charcoal; charbon de bois,,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,8350,160,8350,160,-25,,Early Archaic; Archaïque inférieur,42BO36,Hogup Cave,,,Stratum 1,stratum 1; square 95L100; on bedrock (FS 215; bag 3),,,,Marwitt and Fry; 1973; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1994: 1048
GaK-2082,,plant remains; restes de plantes,wood and bark,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,7250,100,7250,100,-25,,Early Archaic; Archaïque inférieur,42BO36,Hogup Cave,,,Stratum 5,stratum 5; square 110L100 (FS 578),,,,Marwitt and Fry; 1973; Benedict and Olson; 1978; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
GaK-2083,,wood and feces; bois et fèces,,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,8800,200,8800,200,-25,,Early Archaic; Archaïque inférieur,42BO36,Hogup Cave,,,Stratum 3,stratum 3 square 100L100 (FS 580),,,,Marwitt and Fry; 1973; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
GaK-2086,,feces and fur; fèces et pelage,,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,7860,160,7860,160,-25,,Early Archaic; Archaïque inférieur,42BO36,Hogup Cave,,,Stratum 1,stratum 1; square 100L95; (FS 176-205),,,,Marwitt and Fry; 1973; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
GX-10500,,charcoal; charbon de bois,,,southern Waterpocket Fold; Kane County; Utah,a,,L.D. Agenbroad,,,,,,,,7795,230,-25,,Early Archaic; Archaïque inférieur,42KA2546,Bechan Cave,,,,charcoal lens or perhaps a hearth; assigned to cultural period 1,,,,Geib; 1996
GX-10502,,charcoal; charbon de bois,,,southern Waterpocket Fold; Kane County; Utah,a,,L.D. Agenbroad,,,,,,,,7525,220,-25,,Early Archaic; Archaïque inférieur,42KA2546,Bechan Cave,,,,lower occupational surface near the central portion of the site; assigned to cultural period 1,,,,Geib; 1996
RL-55,,charcoal; charbon de bois,,,Tooele County; Utah,a,,J.P. Marwitt,,,,,,7040,280,7040,280,-25,,Early Archaic; Archaïque inférieur,42TO-?,Sandwich Shelter,,,,basal hearth,,,,Marwitt and Fry; 1973; Benedict and Olson; 1978; Marwitt et al.; 1971
RL-354,,charcoal; charbon de bois,,,Emery County; Utah,e,,E.I. DuBloois,,,,,1999-04-02,7770,230,7770,230,-25,,Early Archaic; Archaïque inférieur,42EM-?,Joe's Valley Alcove,,,,contact of Bed I; Level 1 and shelter floor; 180 cm above datum; 400 cm south of datum,,,,Tucek; 1977: 250
RL-355,,charcoal; charbon de bois,,,Emery County; Utah,e,,E.I. DuBloois,,,,,1999-04-02,7670,210,7670,210,,,Early Archaic; Archaïque inférieur,42EM-?,Joe's Valley Alcove,,,,Bed I; Level 1; 165 cm above datum; 580 cm south of datum; 196 cm east of base line,,,,Tucek; 1977: 251
RL-474,,charcoal; charbon de bois,,,Sevier County; Utah,e,,J.D. Jennings,,,,,,7840,330,7840,330,-25,,Early Archaic; Archaïque inférieur,42SV6,Sudden Shelter,,,Stratum 2,surface of stratum 2; component 1; with a Pinto point,,,,Berry and Berry; 1986; Jennings et al.; 1980; Faunmap 1153
SI-2416,,plant remains; restes de plantes,Yucca sp.,,Upper Barrier Canyon; Wayne County; Utah,a,,J.D. Jennings,,,,,,,,8875,125,-22.3,,Early Archaic; Archaïque inférieur,42WN421,Walter's Cave,,,,open-twined sandal (FS 370); just above a pre-occupation sand layer with oak leaves; comparable to Cowboy Cave stratum 2b,,,,Geib; 1996; 2000; Jennings; 1980
SI-2418,508,charcoal; charbon de bois,,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,8275,80,8275,80,-25,,Early Archaic; Archaïque inférieur,42WN420,Cowboy Cave,,,Stratum 2,stratum 2b; first thin cultural layer; feature 41; on surface of windblown sand; with open-twined sandals,,,,Jennings; 1980; Faunmap 1069; Geib; 1996
SI-2419,1154,charcoal; charbon de bois,,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,7215,75,7215,75,-25,,Early Archaic; Archaïque inférieur,42WN420,Cowboy Cave,,,Stratum 3,stratum 3d; within midden fill of ash; charcoal and matted fiber; with Northern side-notched point; open-twined and plain weave sandals,,,,Jennings; 1980; Faunmap 1069; Geib; 1996
Tx-447,,plant remains; restes de plantes,,,4.25 miles northeast of the summit of Navajo Mountain; on the northeast side of a tributary of Cottonwood Creek; San Juan County; Utah,e,,J.R. Ambler,,,,,1999-03-05,7700,120,7700,120,-25,,Early Archaic; Archaïque inférieur,42SA-?,Dust Devil Cave (NA7613),,,,open-twined sandals from lower portion of Stratum V; Desha complex,,,,Valastro and Davis; 1970: 276-277
Tx-448,,plant remains; restes de plantes,,,4.25 miles northeast of the summit of Navajo Mountain; on the northeast side of a tributary of Cottonwood Creek; San Juan County; Utah,e,,J.R. Ambler,,,,,1999-03-05,7540,120,7540,120,-25,,Early Archaic; Archaïque inférieur,42SA-?,Dust Devil Cave (NA7613),,,,open-twined sandals from lower portion of Stratum V; Desha complex,,,,Valastro and Davis; 1970: 276-277
Tx-454,,plant remains; restes de plantes,,,4.25 miles northeast of the summit of Navajo Mountain; on the northeast side of a tributary of Cottonwood Creek; San Juan County; Utah,e,,J.R. Ambler,,,,,1999-03-05,7150,130,7150,130,-25,,Early Archaic; Archaïque inférieur,42SA-?,Dust Devil Cave (NA7613),,,,open-twined sandals from square N19; Level 6; Stratum V; Desha complex,,,,Benedict and Olson; 1978; Valastro and Davis; 1970: 276-277
Tx-1262,,human feces; fèces humaine,Homo sapiens,,7.5 miles northeast of the summit of Navajo Mountain; Rainbow Plateau; San Juan County; Utah,e,,A.J. Lindsay,,,,,1999-03-05,7630,120,7630,120,,,Early Archaic; Archaïque inférieur,42SA-?,Dust Devil Cave (NA7613),,,,square B7; top of stratum 4b; Desha complex,,,,Geib; 1996; Valastro et al.; 1975: 91
Tx-1263,,charcoal; charbon de bois,,,7.5 miles northeast of the summit of Navajo Mountain; Rainbow Plateau; San Juan County; Utah,e,,A.J. Lindsay,,,,,1999-03-05,7340,100,7340,100,-25,,Early Archaic; Archaïque inférieur,42SA-?,Dust Devil Cave (NA7613),,,,square G8; loose charcoal; middle of stratum 4; Desha complex,,,,Benedict and Olson; 1978; Geib; 1996; Valastro et al.; 1975: 91
Tx-1264,,charcoal; charbon de bois,,,7.5 miles northeast of the summit of Navajo Mountain; Rainbow Plateau; San Juan County; Utah,e,,A.J. Lindsay,,,,,1999-03-05,7250,110,7250,110,-25,,Early Archaic; Archaïque inférieur,42SA-?,Dust Devil Cave (NA7613),,,,square F9; Hearth 37; middle of stratum 4; Desha complex,,,,Benedict and Olson; 1978; Geib; 1996; Valastro et al.; 1975: 91
Tx-1265,,charcoal; charbon de bois,,,7.5 miles northeast of the summit of Navajo Mountain; Rainbow Plateau; San Juan County; Utah,e,,A.J. Lindsay,,,,,1999-03-05,8730,110,8730,110,-25,,Early Archaic; Archaïque inférieur,42SA-?,Dust Devil Cave (NA7613),,,,square F8; Hearth 32; bottom of stratum 4; Desha complex,,,,Berry and Berry; 1986; Geib; 1996; Valastro et al.; 1975: 91
Tx-1266,,plant remains; restes de plantes,Yucca sp. leaves,,7.5 miles northeast of the summit of Navajo Mountain; Rainbow Plateau; San Juan County; Utah,e,,A.J. Lindsay,,,,,1999-03-05,8830,160,8830,160,-25,,Early Archaic; Archaïque inférieur,42SA-?,Dust Devil Cave (NA7613),,,,feature 17; a yucca-lined pit; bottom of stratum 4; Desha complex,,,,Geib; 1996; Valastro et al.; 1975: 91
UGa-859,,charcoal; charbon de bois,,,Sevier County; Utah,e,,J.D. Jennings,,,,,,7090,85,7090,85,-25,,Early Archaic; Archaïque inférieur,42SV6,Sudden Shelter,,,Stratum 4,middle of stratum 4; component 1; with Elko corner-notched; Elko side-notched; and Pinto points,,,,Berry and Berry; 1986; Jennings et al.; 1980; Faunmap 1153
UGa-903,,charcoal; charbon de bois,,,Sevier County; Utah,e,,J.D. Jennings,,,,,,7565,115,7565,115,-25,,Early Archaic; Archaïque inférieur,42SV6,Sudden Shelter,,,Stratum 2,surface of stratum 2; compoment 1; with a Pinto point,,,,Berry and Berry; 1986; Jennings et al.; 1980; Faunmap 1153
RL-489,,charcoal; charbon de bois,,,Wayne County; Utah,a,,E. DuBloois,,,,,,,,3330,250,-25,,geoarchaeology; géoarchéologie,42WN631,,,,,stratum of charcoal that extends for hundreds of metres to each side of the site; separating upper from lower hearths,,,,Berry and Berry; 1986
SI-2417,860,plant remains; restes de plantes,Quercus gambeli and Q. sp. leaves,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,8690,75,8690,75,-25,,geoarchaeology; géoarchéologie,42WN420,Cowboy Cave,,,Stratum 2,stratum 2a; a sterile layer of pink windblow sand; precultural,,,,Faunmap 1069; Jennings; 1980
Tx-1267,,plant remains; restes de plantes,Quercus and Celtis leaves,,7.5 miles northeast of the summit of Navajo Mountain; Rainbow Plateau; San Juan County; Utah,e,,A.J. Lindsay,,,,,1999-03-05,9600,150,9600,150,-25,,geoarchaeology; géoarchéologie,42SA-?,Dust Devil Cave (NA7613),,,,stratum 3,,,,Geib; 1996; Valastro et al.; 1975: 91
UGa-2269,,charcoal; charbon de bois,,,Wayne County; Utah,a,,J.D. Jennings,,,,,,,,565,140,,,geoarchaeology; géoarchéologie,42WN981,,,,,noncultural charcoal lens (FS 1),,,,Jennings and Sammons-Lohse; 1981; Lindsay; 1986
A-3516,,charcoal; charbon de bois,,,southern Waterpocket Fold; Kane County; Utah,a,,L.D. Agenbroad,,,,,,,,2640,50,-25,,Late Archaic; Archaïque supérieur,42KA2546,Bechan Cave,,,,auger test; uncertain context and association; assigned to cultural period 3,,,,Geib; 1996
AA-8625,,paint; peinture,,,Wayne County; Utah,u,,M. Rowe,,,,,,,,3400,65,-26.1,,Late Archaic; Archaïque supérieur,42WN418,Great Gallery,,,,Barrier Canyon Style rock art,,,,Tipps; 1995
AA-9116,,paint; peinture,,,Grand County; Utah,u,,M. Rowe,,,,,,,,2100,50,-23.6,,Late Archaic; Archaïque supérieur,42GR382,Dubinky Well,,,,Barrier Canyon Style rock art,,,,Tipps; 1995
AA-9177,,organic matter; matière organique,,,Wayne County; Utah,u,,M. Rowe,,,,,,,,4010,55,-25.7,,Late Archaic; Archaïque supérieur,42WN418,Great Gallery,,,,unpainted sandstone hosting Barrier Canyon Style rock art,,,,Tipps; 1995
AA-9179,,paint; peinture,,,San Juan County; Utah,u,,M. Rowe,,,,,,,,2710,75,-21.1,,Late Archaic; Archaïque supérieur,42SA20615,,,,,Barrier Canyon Style rock art,,,,Tipps; 1995
AA-9236,,organic matter; matière organique,,,Grand County; Utah,u,,M. Rowe,,,,,,,,2565,115,-22.7,,Late Archaic; Archaïque supérieur,42GR382,Dubinky Well,,,,unpainted sandstone hosting Barrier Canyon Style rock art,,,,Tipps; 1995
AA-10376,,plant remains; restes de plantes,Yucca sp.,,lower Glen Canyon; Kane County; Utah,a,,P.R. Geib,,,,,,,,3355,50,-25,,Late Archaic; Archaïque supérieur,42KA433,Benchmark Cave,,,,warp-faced plain weave sandal (FS 35.1) from feature 17,,,,Geib; 1996; 2000
AA-13004,,plant remains; restes de plantes,Yucca sp.,,lower Glen Canyon; Kane County; Utah,a,,P.R. Geib,,,,,,,,3210,55,-23.3,,Late Archaic; Archaïque supérieur,42KA433,Benchmark Cave,,,,warp-faced plain weave sandal (FS 142.11) from feature 33,,,,Geib; 1996; 2000
Beta-16276,,charcoal; charbon de bois,,,Glen Canyon; Kane County; Utah,u,,P.W. Bungart,,,,,,,,4330,80,-25,,Late Archaic; Archaïque supérieur,42KA2756,Co-op,,,,hearth 3; buried by ca. 8 m of alluvium; with debitage; 2 biface fragments; a mano fragment; but no diagnostics,,,,Geib; 1996
Beta-21209,,charcoal; charbon de bois,,,San Juan County; Utah,u,,B.L. Tipps,,,,,,,,3340,110,-25,,Late Archaic; Archaïque supérieur,42SA17092,Salt Pocket Shelter,,,,basin hearth within midden deposit; encountered in a 1 x 1 m test unit,,,,Geib; 1996; Tipps; 1995
Beta-30481,,charcoal; charbon de bois,,,San Juan County; Utah,u,,B.L. Tipps,,,,,,,,1170,60,-25,,Late Archaic; Archaïque supérieur,42SA20251,,,,,feature 1; an unlined hearth,,,,Tipps; 1995
Beta-30482,,charcoal; charbon de bois,,,San Juan County; Utah,u,,B.L. Tipps,,,,,,,,2220,90,-25,,Late Archaic; Archaïque supérieur,42SA20256,Squaw Butte Cove,,,,feature 1; a slab-lined hearth,,,,Geib; 1996; Tipps; 1995
Beta-30483,,charcoal; charbon de bois,,,San Juan County; Utah,u,,B.L. Tipps,,,,,,,,1500,100,-25,,Late Archaic; Archaïque supérieur,42SA20258,,,,,feature 1; an oblong slab-lined feature,,,,Tipps; 1995
Beta-30484,,charcoal; charbon de bois,,,San Juan County; Utah,u,,B.L. Tipps,,,,,,,,2120,60,-25,,Late Archaic; Archaïque supérieur,42SA20292,,,,,feature 3; a slab-lined hearth,,,,Geib; 1996; Tipps; 1995
Beta-30485,,charcoal; charbon de bois,,,San Juan County; Utah,u,,B.L. Tipps,,,,,,,,2220,70,-25,,Late Archaic; Archaïque supérieur,42SA20292,,,,,feature 1; an unlined hearth,,,,Geib; 1996; Tipps; 1995
Beta-30486,,charcoal; charbon de bois,,,San Juan County; Utah,u,,B.L. Tipps,,,,,,,,2640,100,-25,,Late Archaic; Archaïque supérieur,42SA20301,Whirlwind Ridge,,,,feature 1; an unlined hearth,,,,Geib; 1996; Tipps; 1995
Beta-30487,,charcoal; charbon de bois,,,San Juan County; Utah,u,,B.L. Tipps,,,,,,,,2330,90,-25,,Late Archaic; Archaïque supérieur,42SA20301,Whirlwind Ridge,,,,feature 2; an unlined hearth,,,,Geib; 1996; Tipps; 1995
Beta-30488,,charcoal; charbon de bois,,,San Juan County; Utah,u,,B.L. Tipps,,,,,,,,1360,80,-25,,Late Archaic; Archaïque supérieur,42SA20615,,,,,feature 2; an unlined hearth,,,,Tipps; 1995
Beta-38342,,human feces; fèces humaine,Homo sapiens,,Glen Canyon; Kane County; Utah,a,,P.R. Geib,,,,,,,,3900,60,-20.7,,Late Archaic; Archaïque supérieur,42KA2753,Beaucoup Alcove,,,,one of five human feces collected from the surface of an alcove during its initial documentation,,,,Geib; 1996
Beta-64818,,charcoal; charbon de bois,,,Wayne County; Utah,u,,N.J. Coulam,,,,,,,,1860,50,,,Late Archaic; Archaïque supérieur,42WN665,Harvest Scene,,,,associated with Barrier Canyon Style rock art,,,,Tipps; 1995
Beta-75861,,charcoal; charbon de bois,,,Wayne County; Utah,u,,N.J. Coulam,,,,,,,,2660,80,-25,,Late Archaic; Archaïque supérieur,42WN766,,,,,associated with Barrier Canyon Style rock art,,,,Tipps; 1995
Beta-77869,,plant remains; restes de plantes,Yucca sp.,,Comb Wash; San Juan County; Utah,a,,P.R. Geib,,,,,,,,3680,60,-15.8,,Late Archaic; Archaïque supérieur,42SA21153,Turkey Pen,,,,warp-faced plain weave sandal (PN 524.2) found under large roof spall; top of unit 4,,,,Geib; 1996; 2000
GaK-1560,,plant remains; restes de plantes,grass; wood; bark,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,2920,80,2920,80,-25,,Late Archaic; Archaïque supérieur,42BO36,Hogup Cave,,,Stratum 12,stratum 12; square 100L95; center of layer (FS 26),,,,Marwitt and Fry; 1973; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
GaK-1564,,plant remains; restes de plantes,reeds,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,3200,140,3200,140,-25,,Late Archaic; Archaïque supérieur,42BO36,Hogup Cave,,,Stratum 8,stratum 8; square 100L95; bottom of layer (FS 191),,,,Marwitt and Fry; 1973; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
GaK-2079,,plant remains; restes de plantes,wood; bark; feces,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,2550,70,2550,70,-25,,Late Archaic; Archaïque supérieur,42BO36,Hogup Cave,,,Stratum 12,stratum 12; square 110L90 (FS 546),,,,Marwitt and Fry; 1973; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
GaK-2081,,plant remains; restes de plantes,wood; bark,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,2600,100,2600,100,-25,,Late Archaic; Archaïque supérieur,42BO36,Hogup Cave,,,Stratum 10,stratum 10; square 110L100 (FS 572),,,,Marwitt and Fry; 1973; Aikens; 1970; Swanson and Muto; 1975: 54; Faunmap 1048
GX-896,,charcoal; charbon de bois,,,Dinosaur National Monument; Uintah County; Utah,a,,L.L. Leach,,,,,,1625,95,1625,95,-25,,Late Archaic; Archaïque supérieur,42UN-?,Thorne Cave,,,,Level 5,,,,Marwitt and Fry; 1973
GX-897,,charcoal; charbon de bois,,,Dinosaur National Monument; Uintah County; Utah,a,,L.L. Leach,,,,,,3260,120,3260,120,-25,,Late Archaic; Archaïque supérieur,42UN-?,Thorne Cave,,,,Level 8,,,,Marwitt and Fry; 1973; Black; 1983a
GX-898,,charcoal; charbon de bois,,,Dinosaur National Monument; Uintah County; Utah,a,,L.L. Leach,,,,,,3840,210,3840,210,-25,,Late Archaic; Archaïque supérieur,42UN-?,Thorne Cave,,,,Level 11,,,,Marwitt and Fry; 1973
GX-899,,bone collagen; collagène osseux,,,Dinosaur National Monument; Uintah County; Utah,a,,L.L. Leach,,,,,,3630,85,3710,85,-20,,Late Archaic; Archaïque supérieur,42UN-?,Thorne Cave,,,,Level 12,,,,Marwitt and Fry; 1973
GX-10501,,charcoal; charbon de bois,,,southern Waterpocket Fold; Kane County; Utah,a,,L.D. Agenbroad,,,,,,,,2080,140,-25,,Late Archaic; Archaïque supérieur,42KA2546,Bechan Cave,,,,slab-lined hearth assigned to cultural period 3,,,,Geib; 1996
GX-11339,,charcoal; charbon de bois,,,Glen Canyon; Kane County; Utah,u,,P.W. Bungart,,,,,,,,3000,145,-22.6,,Late Archaic; Archaïque supérieur,42KA2756,Co-op,,,,hearth 2 exposed in arroyo cut; with a mano fragment and several chert pressure flakes,,,,Geib; 1996
I-3361,,charcoal; charbon de bois,,,Utah County; Utah,a,,J.M. Mock,,,,,,3660,110,3660,110,-25,,Late Archaic; Archaïque supérieur,42UT104,Spotten Cave,,,Zone 1,zone Ie,,,,Marwitt and Fry; 1973; Faunmap 1545
I-3364,,charcoal; charbon de bois,,,Utah County; Utah,a,,J.M. Mock,,,,,,2110,100,2110,100,-25,,Late Archaic; Archaïque supérieur,42UT104,Spotten Cave,,,Zone 2,zone II,,,,Marwitt and Fry; 1973; Faunmap 1545
RL-131,,charcoal; charbon de bois,,,Emery County; Utah,a,,J.C. Winter,,,,,,3070,130,3070,130,-25,,Late Archaic; Archaïque supérieur,42EM177,Clydes Cavern,,,,Level 1; with a cache of metates and a rabbit-skin robe,,,,Berry and Berry; 1986; Winter and Wylie; 1974; Faunmap 1529
RL-238,,charcoal; charbon de bois,,,Box Elder County; Utah,a,,M.S. Berry,,,,,,4900,100,4900,100,-25,,Late Archaic; Archaïque supérieur,42BO365,Remnant Cave,,,,stratum 2/3 interface; the basal cultural deposit; with two Pinto-Humboldt projectile points,,,,Berry; 1976
RL-239,,bison bone collagen; collagène osseux de bison,Bison sp. ulna,,Box Elder County; Utah,a,,G.F. Dalley,,,,,,2350,90,2430,90,-20,,Late Archaic; Archaïque supérieur,42BO-?,Beatty Springs,,,,"main excavation area; ca. 18"" depth",,,,Dalley; 1976
RL-413,,wood; bois,,,Box Elder County; Utah,a,,C.M. Aikens,,,,,,1260,160,1260,160,-25,,Late Archaic; Archaïque supérieur,42BO36,Hogup Cave,,,Stratum 9,stratum 9,,,,Tucek; 1977: 251
RL-463,,charcoal; charbon de bois,,,Wayne County; Utah,a,,E. DuBloois,,,,,,,,4590,140,-25,,Late Archaic; Archaïque supérieur,42WN631,,,,,lower hearth; separated from upper hearths by a stratum of charcoal that extends for hundreds of metres to each side of the site,,,,Berry and Berry; 1986
RL-475,,charcoal; charbon de bois,,,Sevier County; Utah,e,,J.D. Jennings,,,,,,4670,140,4670,140,-25,,Late Archaic; Archaïque supérieur,42SV6,Sudden Shelter,,,Stratum 14,middle of stratum 14; component 2; with Hawken side-notched; McKean lanceolate; Sudden side-notched; Elko corner-notched and Silver Lake points,,,,Berry and Berry; 1986; Jennings et al.; 1980; Faunmap 1153
RL-486,,charcoal; charbon de bois,,,Wayne County; Utah,a,,E. DuBloois,,,,,,,,2600,120,-25,,Late Archaic; Archaïque supérieur,42WN631,,,,,upper hearth 1,,,,Berry and Berry; 1986
RL-487,,charcoal; charbon de bois,,,Wayne County; Utah,a,,E. DuBloois,,,,,,,,2050,110,-25,,Late Archaic; Archaïque supérieur,42WN631,,,,,upper hearth 3,,,,Berry and Berry; 1986
RL-488,,charcoal; charbon de bois,,,Wayne County; Utah,a,,E. DuBloois,,,,,,,,4290,140,-25,,Late Archaic; Archaïque supérieur,42WN631,,,,,lower hearth; separated from upper hearths by a stratum of charcoal that extends for hundreds of metres to each side of the site,,,,Berry and Berry; 1986
RL-536,,charcoal; charbon de bois,,,Emery County; Utah,a,,D.B. Madsen,,,,,,4520,210,4520,210,-25,,Late Archaic; Archaïque supérieur,42EM625,Pint Size Shelter,,,,bottom of stratum 3; the lower component with Gypsum and Elko corner-notched points and slab metates,,,,Aikens; 1976: 562; Berry and Berry; 1986
SI-2337,,charcoal; charbon de bois,,,Box Elder County; Utah,a,,M.S. Berry,,,,,,2435,65,2435,65,-25,,Late Archaic; Archaïque supérieur,42BO365,Remnant Cave,,,,top of stratum 4,,,,Berry; 1976
SI-2422,1517,cultigen; cultigène,Zea mays,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,1765,70,1985,70,-12,,Late Archaic; Archaïque supérieur,42WN420,Cowboy Cave,,,Stratum 5,probably stratum 5; cached in a skin bag,,,,Jennings; 1980; Faunmap 1069; Geib; 1996; Berry; 1985
SI-2423 R,1516,plant remains; restes de plantes,Sporobolus cf. giganteus,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,1595,65,1745,65,-15.6,,Late Archaic; Archaïque supérieur,42WN420,Cowboy Cave,,,Stratum 5,probably stratum 5; grass from a fiber pad overlying the cache of shell corn; FS1517,,,,Jennings; 1980; Geib; 1996
SI-2425,1940,charcoal; charbon de bois,,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,1495,60,1495,60,-25,,Late Archaic; Archaïque supérieur,42WN420,Cowboy Cave,,,Stratum 5,stratum 5a; feature 183; a pit in red wind-blown sand,,,,Faunmap 1069; Jennings; 1980
SI-2426,1683,plant remains; restes de plantes,Juniperus sp. bark; Artemisia cf. dracunculus stalks,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,1580,60,1580,60,-25,,Late Archaic; Archaïque supérieur,42WN420,Cowboy Cave,,,Stratum 5,stratum 5c; with a semicircular arc of stones and a small stone cist; the terminal occupation of the cave,,,,Faunmap 1069; Jennings; 1980
SI-2495,,plant remains; restes de plantes,Sporobolus cryptandrus,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,,,3330,80,-15.6,,Late Archaic; Archaïque supérieur,42WN420,Cowboy Cave,,,Stratum 4,probably stratum 4c; provenience unknown; grass from a skin bag recovered in 1973 testing,,,,Jennings; 1980; Geib; 1996
SI-2715,1373,charcoal; charbon de bois,,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,3635,55,3635,55,-25,,Late Archaic; Archaïque supérieur,42WN420,Cowboy Cave,,,Stratum 4,stratum 4c; with Gypsum points and split-twig figurines,,,,Jennings; 1980; Faunmap 1069; Geib; 1996
SI-2998,2293,wood; bois,,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,3560,75,3560,75,-25,,Late Archaic; Archaïque supérieur,42WN420,Cowboy Cave,,,Stratum 4,stratum 4d; with Gypsum points and split-twig figurines,,,,Jennings; 1980; Faunmap 1069; Geib; 1996
SI-3012 R,1517,cultigen; cultigène,Zea mays,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,1450,70,1670,70,-12,,Late Archaic; Archaïque supérieur,42WN420,Cowboy Cave,,,Stratum 5,probably stratum 5; cached in a skin bag,,,,Jennings; 1980; Geib; 1996
SI-3172,1517-1,cultigen; cultigène,Zea mays,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,1635,70,1855,70,-12,,Late Archaic; Archaïque supérieur,42WN420,Cowboy Cave,,,Stratum 5,probably stratum 5; cached in a skin bag,,,,Jennings; 1980; Faunmap 1069; Geib; 1996
UGa-904,,charcoal; charbon de bois,,,Sevier County; Utah,e,,J.D. Jennings,,,,,,4425,85,4425,85,-25,,Late Archaic; Archaïque supérieur,42SV6,Sudden Shelter,,,Stratum 15,near top of stratum 15; component 2; with McKean; Gypsum; Elko side-notched; and one Hawken side-notched point,,,,Berry and Berry; 1986; Jennings et al.; 1980; Faunmap 1153
UGa-905,,charcoal; charbon de bois,,,Sevier County; Utah,e,,J.D. Jennings,,,,,,3360,85,3360,85,-25,,Late Archaic; Archaïque supérieur,42SV6,Sudden Shelter,,,Stratum 22,middle of stratum 22; dating the termination of component 3,,,,Berry and Berry; 1986; Jennings et al.; 1980; Faunmap 1153
UGa-905 a,,charcoal; charbon de bois,,,Sevier County; Utah,e,,J.D. Jennings,,,,,,3375,200,3375,200,-25,,Late Archaic; Archaïque supérieur,42SV6,Sudden Shelter,,,Stratum 22,middle of stratum 22; dating the termination of component 3,,,,Berry and Berry; 1986; Jennings et al.; 1980; Faunmap 1153
UGa-1053,,charcoal; charbon de bois,,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,1890,65,1890,65,-25,,Late Archaic; Archaïque supérieur,42WN420,Cowboy Cave,,,Stratum 5,stratum 5b?; provenience unknown,,,,Berry and Berry; 1986; Jennings; 1980; Faunmap 1069; Geib; 1996
UGa-1260,,charcoal; charbon de bois,,,Sevier County; Utah,e,,J.D. Jennings,,,,,,3535,95,3535,95,-25,,Late Archaic; Archaïque supérieur,42SV6,Sudden Shelter,,,Stratum 17,middle of stratum 17; dating rapid increase in use of the site,,,,Berry and Berry; 1986; Jennings et al.; 1980; Faunmap 1153
UGa-1261,,charcoal; charbon de bois,,,Sevier County; Utah,e,,J.D. Jennings,,,,,,4980,90,4980,90,-25,,Late Archaic; Archaïque supérieur,42SV6,Sudden Shelter,,,Stratum 10,surface of stratum 10; component 2; with no recovered projectile points,,,,Berry and Berry; 1986; Jennings et al.; 1980; Faunmap 1153
UGa-1548,1517-1,cultigen; cultigène,Zea mays,,Upper Barrier Canyon; Wayne County; Utah,e,,J.D. Jennings,,,,,,1555,70,1775,70,-12,,Late Archaic; Archaïque supérieur,42WN420,Cowboy Cave,,,Stratum 5,probably stratum 5; cached in a skin bag,,,,Jennings; 1980; Faunmap 1069; Geib; 1996
